Kod;Nazwa;Urodzenia;Wynagrodzenia;Urbanizacja;Wydatki;Fem;Unemp;Ludnosc;Malzenstwa
2474000;Powiat m. Siemianowice _l_skie;7,27;88,8;100;82942334,11;111;3,9;74269;4,1
2475000;Powiat m. Sosnowiec;6,13;91,4;100;82942334,11;113;5,2;232622;3,9
2476000;Powiat m. _wi_toch_owice;7,16;84,3;100;82942334,11;109;4,6;56410;4,3
2477000;Powiat m. Tychy;7,13;93;100;82942334,11;109;1,7;132816;3,8
2478000;Powiat m. Zabrze;7,21;97,1;100;82942334,11;108;4,4;195293;4
2479000;Powiat m. _ory;7,86;85,7;100;82942334,11;105;3,5;63461;4,3
2601000;Powiat buski;6,59;80,7;26,5;36616970,92;104;4,4;74974;3,5
2602000;Powiat j_drzejowski;7,26;86,9;30,4;42807680,02;103;6,7;90707;4,2
2603000;Powiat kazimierski;6,52;76;20,5;22449392,58;103;10;36818;3,6
2604000;Powiat kielecki;8,4;78,9;8,8;26443737,9;101;7;194889;4
2605000;Powiat konecki;5,98;81,9;34,4;42199091,54;103;10,5;85502;3,9
2606000;Powiat opatowski;6,15;76,2;23,4;30644077,76;102;15,8;58154;3,6
2607000;Powiat ostrowiecki;5,57;80,4;67,7;68426120,38;109;9,6;117952;3
2608000;Powiat pi_czowski;6,65;86,7;28,9;20321350,56;103;7,8;43103;3,6
2609000;Powiat sandomierski;6,4;88,8;37,6;38242178,53;106;8,2;83053;3,9
2610000;Powiat skar_yski;5,25;85,1;71,5;50318032,19;109;14,7;80925;3,3
2611000;Powiat starachowicki;6,55;85,5;56,2;46994805,56;106;9,6;96085;3,1
2612000;Powiat staszowski;6,79;87,3;37,6;36723344,79;102;6,5;75186;4,4
2613000;Powiat w_oszczowski;6,77;89,2;22,2;21534151,56;100;7,1;47700;4,1
2661000;Powiat m. Kielce;7,61;92,2;100;21534151,56;115;4,6;212429;3,5
2801000;Powiat bartoszycki;6,19;80,7;55,3;30901920,22;105;18,2;62492;3,2
